status,product_area,response,justification,request_type
replied,account_access,"Based on the support documentation, here is the most relevant guidance: --- title: ""How do I change the email address associated with my account?"" title_slug: ""how-do-i-change-the-email-address-associated-with-my-account"" source_url: ""https://support.claude.com/en/articles/8452276-how-do-i-change-the-email-address-associated-with-my-account"" last_updated_iso: ""2026-03-16T21:15:07Z"" article_id: ""8469679"" breadcrumbs: - ""Claude"" - ""Account management"" --- # How do I change the email addres (source: C:\Users\Geetha Krishna\hackerrank-orchestrate-may26\data\claude\claude\account-management\8452276-how-do-i-change-the-email-address-associated-with-my-account.md)",Triage rationale (traceable): company=claude; request_type=product_issue; product_area=account_access; similarity=0.4260; confidence=0.0247; status=replied; source=C:\Users\Geetha Krishna\hackerrank-orchestrate-may26\data\claude\claude\account-management\8452276-how-do-i-change-the-email-address-associated-with-my-account.md,product_issue
replied,screen,"Based on the support documentation, here is the most relevant guidance: --- title: ""Workday - HackerRank Tests User Guide"" title_slug: ""workday-hackerrank-tests-user-guide"" source_url: ""https://support.hackerrank.com/articles/1999755553-workday---hackerrank-tests-user-guide"" article_slug: ""1999755553-workday---hackerrank-tests-user-guide"" last_updated_exact: ""Dec 28, 2024, 4:25 AM"" last_updated_relative: ""Last updated 1 year ago"" breadcrumbs: - ""Integrations"" - ""Applicant Tracking System (source: C:\Users\Geetha Krishna\hackerrank-orchestrate-may26\data\hackerrank\integrations\applicant-tracking-systems\workday\1999755553-workday---hackerrank-tests-user-guide.md)",Triage rationale (traceable): company=hackerrank; request_type=product_issue; product_area=screen; similarity=0.4725; confidence=0.0052; status=replied; source=C:\Users\Geetha Krishna\hackerrank-orchestrate-may26\data\hackerrank\integrations\applicant-tracking-systems\workday\1999755553-workday---hackerrank-tests-user-guide.md,product_issue
replied,payments,"Based on the support documentation, here is the most relevant guidance: --- title: ""Visa Credit Card Rules & Regulations"" source_url: ""https://www.visa.co.in/support/consumer/visa-rules.html"" final_url: ""https://www.visa.co.in/support/consumer/visa-rules.html"" last_modified: ""2023-10-04T01:48:44.301Z"" description: ""Visa Rules - Learn more about Visa credit card rules, regulations and policies as a consumer or merchant. Filing inquiries and FAQs - find them here."" --- # Visa Credit Card R (source: C:\Users\Geetha Krishna\hackerrank-orchestrate-may26\data\visa\support\consumer\visa-rules.md)",Triage rationale (traceable): company=visa; request_type=product_issue; product_area=payments; similarity=0.4170; confidence=0.0105; status=replied; source=C:\Users\Geetha Krishna\hackerrank-orchestrate-may26\data\visa\support\consumer\visa-rules.md,product_issue
replied,payments,"Based on the support documentation, here is the most relevant guidance: --- title: ""Purchase Mock Interview Credits"" title_slug: ""purchase-mock-interview-credits"" source_url: ""https://help.hackerrank.com/articles/3282259518-purchase-mock-interviews"" article_slug: ""3282259518-purchase-mock-interviews"" last_updated_exact: ""Mar 24, 2025, 3:31 PM"" last_updated_relative: ""Last updated 1 year ago"" breadcrumbs: - ""Subscriptions, Payments, and Billing"" --- # Purchase Mock Interview Credits _Last (source: C:\Users\Geetha Krishna\hackerrank-orchestrate-may26\data\hackerrank\hackerrank_community\subscriptions-payments-and-billing\3282259518-purchase-mock-interviews.md)",Triage rationale (traceable): company=hackerrank; request_type=bug; product_area=payments; similarity=0.3377; confidence=0.0005; status=replied; source=C:\Users\Geetha Krishna\hackerrank-orchestrate-may26\data\hackerrank\hackerrank_community\subscriptions-payments-and-billing\3282259518-purchase-mock-interviews.md,bug
replied,payments,"Based on the support documentation, here is the most relevant guidance: --- title: ""Subscriptions, Payments, and Billing FAQs Mock interviews Subscription plans"" title_slug: ""subscriptions-payments-and-billing-faqs-mock-interviews-subscription-plans"" source_url: ""https://help.hackerrank.com/articles/9157064719-payments-and-billing-faqs"" article_slug: ""9157064719-payments-and-billing-faqs"" last_updated_exact: ""Nov 12, 2025, 4:42 PM"" last_updated_relative: ""Last updated 5 months ago"" bread (source: C:\Users\Geetha Krishna\hackerrank-orchestrate-may26\data\hackerrank\hackerrank_community\subscriptions-payments-and-billing\9157064719-payments-and-billing-faqs.md)",Triage rationale (traceable): company=hackerrank; request_type=product_issue; product_area=payments; similarity=0.2964; confidence=0.0476; status=replied; source=C:\Users\Geetha Krishna\hackerrank-orchestrate-may26\data\hackerrank\hackerrank_community\subscriptions-payments-and-billing\9157064719-payments-and-billing-faqs.md,product_issue
replied,general_support,"Based on the support documentation, here is the most relevant guidance: --- title: ""InterviewPlanner-HackerRank Integration FAQs"" title_slug: ""interviewplanner-hackerrank-integration-faqs"" source_url: ""https://support.hackerrank.com/articles/7401637722-interviewplanner-hackerrank-integration-faqs-"" article_slug: ""7401637722-interviewplanner-hackerrank-integration-faqs-"" last_updated_exact: ""Jan 23, 2025, 3:32 AM"" last_updated_relative: ""Last updated 1 year ago"" breadcrumbs: - ""Integratio (source: C:\Users\Geetha Krishna\hackerrank-orchestrate-may26\data\hackerrank\integrations\scheduling\7401637722-interviewplanner-hackerrank-integration-faqs-.md)",Triage rationale (traceable): company=hackerrank; request_type=product_issue; product_area=general_support; similarity=0.5216; confidence=0.0175; status=replied; source=C:\Users\Geetha Krishna\hackerrank-orchestrate-may26\data\hackerrank\integrations\scheduling\7401637722-interviewplanner-hackerrank-integration-faqs-.md,product_issue
replied,screen,"Based on the support documentation, here is the most relevant guidance: --- title: ""Subscriptions, Payments, and Billing FAQs Mock interviews Subscription plans"" title_slug: ""subscriptions-payments-and-billing-faqs-mock-interviews-subscription-plans"" source_url: ""https://help.hackerrank.com/articles/9157064719-payments-and-billing-faqs"" article_slug: ""9157064719-payments-and-billing-faqs"" last_updated_exact: ""Nov 12, 2025, 4:42 PM"" last_updated_relative: ""Last updated 5 months ago"" bread (source: C:\Users\Geetha Krishna\hackerrank-orchestrate-may26\data\hackerrank\hackerrank_community\subscriptions-payments-and-billing\9157064719-payments-and-billing-faqs.md)",Triage rationale (traceable): company=hackerrank; request_type=bug; product_area=screen; similarity=0.3518; confidence=0.0324; status=replied; source=C:\Users\Geetha Krishna\hackerrank-orchestrate-may26\data\hackerrank\hackerrank_community\subscriptions-payments-and-billing\9157064719-payments-and-billing-faqs.md,bug
replied,screen,"Based on the support documentation, here is the most relevant guidance: --- title: ""Report Settings"" title_slug: ""report-settings"" source_url: ""https://support.hackerrank.com/articles/5213013268-report-settings"" article_slug: ""5213013268-report-settings"" last_updated_exact: ""Dec 26, 2024, 3:19 PM"" last_updated_relative: ""Last updated 1 year ago"" breadcrumbs: - ""Settings"" - ""User Account Settings and Preferences"" --- # Report Settings _Last updated: Dec 26, 2024, 3:19 PM (Last updated 1 y (source: C:\Users\Geetha Krishna\hackerrank-orchestrate-may26\data\hackerrank\settings\user-account-settings-and-preferences\5213013268-report-settings.md)",Triage rationale (traceable): company=hackerrank; request_type=product_issue; product_area=screen; similarity=0.4457; confidence=0.0134; status=replied; source=C:\Users\Geetha Krishna\hackerrank-orchestrate-may26\data\hackerrank\settings\user-account-settings-and-preferences\5213013268-report-settings.md,product_issue
replied,screen,"Based on the support documentation, here is the most relevant guidance: --- title: ""Mitigating Candidate Drop-Off"" title_slug: ""mitigating-candidate-drop-off"" source_url: ""https://support.hackerrank.com/articles/5269412517-mitigating-candidate-drop-off"" article_slug: ""5269412517-mitigating-candidate-drop-off"" last_updated_exact: ""Dec 24, 2024, 4:51 PM"" last_updated_relative: ""Last updated 1 year ago"" breadcrumbs: - ""Screen"" - ""Best Practice Guides"" --- # Mitigating Candidate Drop-Off _La (source: C:\Users\Geetha Krishna\hackerrank-orchestrate-may26\data\hackerrank\screen\best-practice-guides\5269412517-mitigating-candidate-drop-off.md)",Triage rationale (traceable): company=hackerrank; request_type=product_issue; product_area=screen; similarity=0.3212; confidence=0.0002; status=replied; source=C:\Users\Geetha Krishna\hackerrank-orchestrate-may26\data\hackerrank\screen\best-practice-guides\5269412517-mitigating-candidate-drop-off.md,product_issue
replied,screen,"Based on the support documentation, here is the most relevant guidance: --- title: ""Q3' 23 Release Notes Q3' 23 Release Notes"" title_slug: ""q3-23-release-notes-q3-23-release-notes"" source_url: ""https://support.hackerrank.com/articles/9502641162-q3%27-23-release-notes"" article_slug: ""9502641162-q3%27-23-release-notes"" last_updated_exact: ""Dec 13, 2024, 5:03 AM"" last_updated_relative: ""Last updated 1 year ago"" breadcrumbs: - ""General Help"" - ""Release Notes"" --- # Q3' 23 Release Notes Q3' 2 (source: C:\Users\Geetha Krishna\hackerrank-orchestrate-may26\data\hackerrank\general-help\release-notes\9502641162-q3%27-23-release-notes.md)",Triage rationale (traceable): company=hackerrank; request_type=product_issue; product_area=screen; similarity=0.5241; confidence=0.0356; status=replied; source=C:\Users\Geetha Krishna\hackerrank-orchestrate-may26\data\hackerrank\general-help\release-notes\9502641162-q3%27-23-release-notes.md,product_issue
replied,screen,"Based on the support documentation, here is the most relevant guidance: --- title: ""What happens to Candidate statuses if the cutoff score is altered?"" title_slug: ""what-happens-to-candidate-statuses-if-the-cutoff-score-is-altered"" source_url: ""https://support.hackerrank.com/articles/6321836373-what-happens-to-candidate-statuses-if-the-cut-off-score-is-altered%3F"" article_slug: ""6321836373-what-happens-to-candidate-statuses-if-the-cut-off-score-is-altered%3F"" last_updated_exact: ""Jun 5,  (source: C:\Users\Geetha Krishna\hackerrank-orchestrate-may26\data\hackerrank\screen\frequently-asked-questions\6321836373-what-happens-to-candidate-statuses-if-the-cut-off-score-is-altered%3F.md)",Triage rationale (traceable): company=hackerrank; request_type=product_issue; product_area=screen; similarity=0.4968; confidence=0.0074; status=replied; source=C:\Users\Geetha Krishna\hackerrank-orchestrate-may26\data\hackerrank\screen\frequently-asked-questions\6321836373-what-happens-to-candidate-statuses-if-the-cut-off-score-is-altered%3F.md,product_issue
